epoch training validation
0 [1.2422,3.0684] [0.7938,2.4129]
1 [1.0139,3.0205] [0.6761,2.4246]
2 [0.9434,3.0193] [0.6493,2.4383]
3 [0.9345,2.9600] [0.6477,2.4516]
4 [0.8996,2.9966] [0.6351,2.4661]
5 [0.8172,3.0418] [0.6294,2.4887]
6 [0.8550,3.0745] [0.6282,2.5548]
7 [0.8013,3.1397] [0.6210,2.6605]
8 [0.7777,3.1644] [0.6180,2.7627]
9 [0.7798,3.2152] [0.6125,2.8964]
10 [0.7360,3.3690] [0.6051,3.0686]
11 [0.7236,3.5490] [0.5993,3.3527]
12 [0.6949,3.8201] [0.5935,3.7575]
13 [0.7143,4.2687] [0.5879,4.3957]
14 [0.7032,4.8125] [0.5787,5.1059]
15 [0.6908,5.4184] [0.5670,5.9487]
16 [0.7090,6.1252] [0.5600,6.7988]
17 [0.6728,6.9851] [0.5508,7.8594]
18 [0.6738,7.8660] [0.5330,8.9640]
19 [0.6421,8.8244] [0.5221,10.0455]
20 [0.6886,9.6092] [0.5235,10.8176]
21 [0.6662,9.9298] [0.5071,11.3675]
22 [0.6637,10.4585] [0.4927,11.7677]
23 [0.6191,10.5508] [0.5004,12.0690]
24 [0.6431,10.5887] [0.4995,12.0525]
25 [0.6347,10.3199] [0.4875,11.8134]
26 [0.5835,10.0712] [0.4832,11.6403]
27 [0.5805,9.8251] [0.4982,11.2926]
28 [0.5748,9.3564] [0.5053,10.6543]
29 [0.5371,8.8842] [0.5121,10.0257]
30 [0.5444,8.3082] [0.5007,9.4591]
31 [0.5093,7.7630] [0.4841,8.9315]
32 [0.4819,7.3306] [0.4994,8.4103]
33 [0.4523,6.9692] [0.4636,7.9010]
34 [0.4051,6.6792] [0.4975,7.3835]
35 [0.4015,6.2773] [0.5031,6.9006]
36 [0.3616,6.0344] [0.5421,6.3957]
37 [0.3181,5.9066] [0.5524,6.0518]
38 [0.3274,5.8450] [0.5350,5.7474]
39 [0.3271,5.6578] [0.5717,5.5204]
