epoch training validation
0 [8.9484, 19.7135] [3.3353, 7.9730]
1 [8.4571, 19.8942] [3.3869, 7.9287]
2 [8.1064, 19.4272] [3.9802, 7.8165]
3 [7.8478, 19.4490] [3.8092, 7.6870]
4 [7.0436, 19.2913] [3.3272, 7.6058]
5 [7.2174, 18.4787] [3.3247, 7.5178]
6 [6.5960, 19.0525] [2.8588, 7.3986]
7 [6.8706, 19.0425] [2.8551, 7.3414]
8 [6.5409, 19.0663] [3.1017, 7.2746]
9 [7.3511, 18.4270] [3.2821, 7.1838]
10 [6.6663, 18.3800] [2.6197, 7.0813]
11 [6.7329, 19.0006] [2.9676, 7.0428]
12 [6.1243, 18.6386] [2.8511, 6.9501]
13 [6.2237, 17.4628] [3.1144, 6.8349]
14 [6.3969, 18.0495] [2.8043, 6.8594]
15 [6.1632, 18.0707] [2.5266, 6.8695]
16 [6.0518, 18.3342] [2.6936, 6.9026]
17 [5.8058, 18.2516] [2.6385, 6.8157]
18 [5.7478, 17.8684] [2.5658, 6.7310]
19 [5.7432, 17.2550] [2.4691, 6.6666]
20 [5.2826, 16.9621] [2.5259, 6.6408]
21 [5.4196, 17.0680] [2.3549, 6.6010]
22 [5.8788, 17.0612] [2.4082, 6.5203]
23 [5.6464, 17.0014] [2.6370, 6.4741]
24 [5.3080, 17.4458] [2.1435, 6.4319]
25 [5.4514, 17.2684] [2.2635, 6.4711]
26 [5.2516, 17.1054] [2.3667, 6.3631]
27 [5.5101, 16.2911] [2.2115, 6.3580]
28 [5.5100, 16.8673] [2.2293, 6.2287]
29 [5.0785, 16.7620] [2.0048, 6.1843]
30 [5.2992, 16.6425] [2.1742, 6.1678]
31 [5.0590, 16.4312] [2.1100, 6.1502]
32 [4.9538, 16.2231] [2.0543, 6.0548]
33 [4.6305, 16.7030] [2.0547, 6.0097]
34 [5.0596, 16.0345] [2.1631, 5.9632]
35 [5.2753, 16.2886] [2.2476, 5.8898]
36 [5.0915, 15.8750] [1.9211, 5.8277]
37 [4.6460, 15.8019] [2.1720, 5.7965]
38 [4.3932, 15.8439] [2.0421, 5.6792]
39 [4.7808, 15.5268] [2.0767, 5.6504]
