epoch training validation
0 [1.1095,3.3825] [0.6654,2.5084]
1 [1.0861,3.2347] [0.6601,2.3371]
2 [1.0685,3.0477] [0.6573,2.1975]
3 [1.0677,2.9483] [0.6562,2.0849]
4 [1.0724,2.8273] [0.6558,1.9962]
5 [0.9988,2.8027] [0.6554,1.9255]
6 [1.0219,2.7877] [0.6551,1.8739]
7 [1.0375,2.6747] [0.6547,1.8357]
8 [1.0330,2.6283] [0.6542,1.8071]
9 [1.0038,2.5922] [0.6534,1.7867]
10 [1.0581,2.6237] [0.6531,1.7728]
11 [0.9836,2.6684] [0.6526,1.7628]
12 [1.0024,2.6226] [0.6519,1.7563]
13 [1.0170,2.5782] [0.6515,1.7521]
14 [1.0318,2.5383] [0.6510,1.7487]
15 [1.0111,2.5189] [0.6512,1.7457]
16 [0.9938,2.5104] [0.6504,1.7433]
17 [0.9844,2.5937] [0.6501,1.7424]
18 [0.9791,2.5318] [0.6501,1.7412]
19 [0.9908,2.5206] [0.6500,1.7402]
20 [0.9846,2.5227] [0.6495,1.7390]
21 [0.9497,2.5719] [0.6486,1.7385]
22 [0.9683,2.5684] [0.6488,1.7377]
23 [0.9769,2.5041] [0.6473,1.7372]
24 [0.9648,2.5106] [0.6462,1.7370]
25 [0.9638,2.5090] [0.6457,1.7369]
26 [0.9797,2.4664] [0.6450,1.7369]
27 [1.0031,2.4712] [0.6447,1.7358]
28 [0.9478,2.4168] [0.6440,1.7355]
29 [0.9631,2.4775] [0.6435,1.7347]
30 [0.9797,2.5372] [0.6435,1.7338]
31 [0.9499,2.3713] [0.6430,1.7332]
32 [0.9259,2.4715] [0.6424,1.7319]
33 [0.9391,2.4759] [0.6424,1.7321]
34 [0.9448,2.4466] [0.6424,1.7319]
35 [0.9305,2.4766] [0.6422,1.7329]
36 [0.9728,2.4949] [0.6417,1.7322]
37 [0.9421,2.4428] [0.6414,1.7317]
38 [0.9682,2.4214] [0.6407,1.7308]
39 [0.9324,2.4255] [0.6399,1.7304]
40 [0.9236,2.4626] [0.6394,1.7298]
41 [0.9287,2.3882] [0.6389,1.7290]
42 [0.9454,2.4175] [0.6384,1.7280]
43 [0.8870,2.4368] [0.6378,1.7273]
44 [0.8849,2.3822] [0.6375,1.7265]
45 [0.9122,2.4040] [0.6373,1.7258]
46 [0.8895,2.4264] [0.6373,1.7250]
47 [0.8979,2.3972] [0.6365,1.7239]
48 [0.9213,2.4357] [0.6362,1.7227]
49 [0.9204,2.3448] [0.6359,1.7233]
50 [0.8910,2.3944] [0.6355,1.7239]
51 [0.8904,2.3757] [0.6351,1.7242]
52 [0.8583,2.3405] [0.6350,1.7235]
53 [0.8483,2.3842] [0.6346,1.7232]
54 [0.8699,2.3368] [0.6339,1.7231]
55 [0.8764,2.3267] [0.6335,1.7225]
56 [0.8533,2.3209] [0.6332,1.7213]
57 [0.9026,2.3819] [0.6328,1.7190]
58 [0.9028,2.3658] [0.6325,1.7180]
59 [0.8747,2.3551] [0.6321,1.7178]
60 [0.8489,2.3670] [0.6318,1.7173]
61 [0.8333,2.3229] [0.6315,1.7171]
62 [0.8769,2.3241] [0.6312,1.7170]
63 [0.8803,2.3306] [0.6309,1.7167]
64 [0.8775,2.3290] [0.6306,1.7158]
65 [0.8293,2.3118] [0.6302,1.7154]
66 [0.8244,2.2590] [0.6299,1.7146]
67 [0.8217,2.2954] [0.6296,1.7141]
68 [0.8673,2.3119] [0.6293,1.7139]
69 [0.8163,2.2799] [0.6290,1.7135]
70 [0.8209,2.3455] [0.6288,1.7134]
71 [0.8091,2.2659] [0.6286,1.7124]
72 [0.8308,2.2419] [0.6284,1.7118]
73 [0.8280,2.2527] [0.6281,1.7113]
74 [0.8257,2.2842] [0.6278,1.7106]
75 [0.8630,2.2593] [0.6275,1.7099]
76 [0.8130,2.2919] [0.6274,1.7100]
77 [0.8333,2.2560] [0.6272,1.7095]
78 [0.8030,2.2269] [0.6268,1.7101]
79 [0.8372,2.2715] [0.6265,1.7089]
80 [0.8175,2.2704] [0.6264,1.7092]
81 [0.8159,2.2159] [0.6266,1.7082]
82 [0.8153,2.2583] [0.6267,1.7073]
83 [0.8112,2.1909] [0.6260,1.7076]
84 [0.8236,2.2459] [0.6256,1.7077]
85 [0.8014,2.2337] [0.6253,1.7074]
86 [0.7743,2.2397] [0.6251,1.7066]
87 [0.8055,2.2475] [0.6246,1.7060]
88 [0.8000,2.2545] [0.6244,1.7060]
89 [0.7745,2.2462] [0.6243,1.7051]
90 [0.7923,2.2026] [0.6249,1.7044]
91 [0.7738,2.2229] [0.6243,1.7046]
92 [0.7860,2.1557] [0.6242,1.7044]
93 [0.7845,2.1955] [0.6236,1.7038]
94 [0.7906,2.2083] [0.6232,1.7030]
95 [0.7795,2.2063] [0.6231,1.7025]
96 [0.7783,2.1927] [0.6228,1.7021]
97 [0.7801,2.1347] [0.6227,1.7020]
98 [0.7471,2.1573] [0.6228,1.7013]
99 [0.7466,2.2285] [0.6225,1.7009]
