epoch training validation
0 [1.0328,3.0058] [0.6790,2.2592]
1 [0.9912,2.9569] [0.6616,2.2513]
2 [0.9006,2.8831] [0.6569,2.2767]
3 [0.9070,3.0175] [0.6702,2.3275]
4 [0.8030,3.0452] [0.6215,2.3689]
5 [0.7833,3.0059] [0.6281,2.4406]
6 [0.7282,3.0830] [0.6032,2.4893]
7 [0.6747,3.0974] [0.5722,2.5615]
8 [0.6514,3.2429] [0.5618,2.6766]
9 [0.6021,3.2683] [0.5356,2.7880]
10 [0.5855,3.4424] [0.5182,2.9446]
11 [0.5259,3.5746] [0.5089,3.1829]
12 [0.5245,3.8985] [0.5010,3.5338]
13 [0.5159,4.2423] [0.4964,4.1331]
14 [0.4761,4.8841] [0.4854,4.8952]
15 [0.4819,5.6551] [0.4657,5.9447]
16 [0.4475,6.7681] [0.4708,7.5205]
17 [0.4515,8.4033] [0.5083,9.2722]
18 [0.4403,10.3161] [0.4851,11.6320]
19 [0.4625,12.0276] [0.4832,13.8415]
20 [0.4520,13.7918] [0.5190,15.5520]
21 [0.4528,15.1339] [0.4844,17.6595]
22 [0.4724,16.5693] [0.5409,18.4051]
23 [0.5064,16.6983] [0.5327,18.9388]
24 [0.4661,16.6036] [0.6458,18.7286]
25 [0.4689,16.5182] [0.5792,18.9521]
26 [0.4327,16.3152] [0.5861,18.3220]
27 [0.3988,16.0054] [0.5903,18.3324]
28 [0.4376,15.9485] [0.6044,18.2783]
29 [0.3826,15.8638] [0.6095,18.1533]
30 [0.3772,15.5311] [0.6109,18.1325]
31 [0.3767,15.7315] [0.6122,18.2211]
32 [0.3717,15.8580] [0.6173,18.1224]
33 [0.3761,15.6565] [0.6225,18.1910]
34 [0.4351,15.6268] [0.6245,18.0548]
