epoch training validation
0 [1.4059,3.0024] [1.0750,2.3448]
1 [1.3061,2.9761] [0.9423,2.2327]
2 [1.2795,2.9508] [0.8404,2.1414]
3 [1.1853,2.7348] [0.7720,2.0689]
4 [1.1119,2.7613] [0.7291,2.0122]
5 [1.0630,2.7708] [0.7029,1.9657]
6 [1.0697,2.6864] [0.6885,1.9282]
7 [1.0817,2.6017] [0.6803,1.8983]
8 [1.1009,2.6158] [0.6752,1.8759]
9 [1.0198,2.5749] [0.6730,1.8581]
10 [1.0563,2.5823] [0.6723,1.8410]
11 [1.0196,2.6221] [0.6719,1.8283]
12 [1.0566,2.5363] [0.6717,1.8204]
13 [1.0655,2.5718] [0.6720,1.8136]
14 [1.0458,2.5286] [0.6717,1.8072]
15 [1.0382,2.5167] [0.6722,1.8013]
16 [1.0757,2.5421] [0.6720,1.7968]
17 [1.0545,2.5477] [0.6729,1.7923]
18 [1.0443,2.5189] [0.6726,1.7884]
19 [1.0504,2.4816] [0.6719,1.7861]
20 [0.9954,2.4764] [0.6715,1.7820]
21 [0.9916,2.4185] [0.6701,1.7795]
22 [1.0374,2.4691] [0.6693,1.7775]
23 [1.0237,2.4807] [0.6691,1.7756]
24 [1.0013,2.4358] [0.6689,1.7738]
25 [0.9864,2.4492] [0.6680,1.7746]
26 [0.9894,2.4136] [0.6680,1.7740]
27 [0.9517,2.4337] [0.6676,1.7716]
28 [1.0029,2.4859] [0.6675,1.7692]
29 [0.9795,2.4341] [0.6671,1.7676]
30 [0.9852,2.4320] [0.6664,1.7663]
31 [0.9743,2.4674] [0.6665,1.7653]
32 [0.9712,2.4671] [0.6655,1.7643]
33 [0.9534,2.3752] [0.6655,1.7633]
34 [0.9778,2.4002] [0.6646,1.7623]
35 [0.9830,2.4094] [0.6642,1.7619]
36 [0.9584,2.3849] [0.6640,1.7610]
37 [0.9781,2.4491] [0.6638,1.7601]
38 [0.9528,2.3400] [0.6630,1.7605]
39 [0.9397,2.4184] [0.6625,1.7601]
40 [0.9745,2.3702] [0.6624,1.7591]
41 [0.9600,2.4336] [0.6617,1.7587]
42 [0.9439,2.3924] [0.6609,1.7580]
43 [0.9759,2.3876] [0.6613,1.7562]
44 [0.9358,2.3248] [0.6619,1.7560]
45 [0.9852,2.3280] [0.6613,1.7556]
46 [0.9678,2.3704] [0.6608,1.7572]
47 [0.9500,2.3223] [0.6602,1.7565]
48 [0.9249,2.3741] [0.6596,1.7552]
49 [0.9423,2.3424] [0.6593,1.7556]
50 [0.9615,2.3556] [0.6590,1.7535]
51 [0.9558,2.3319] [0.6588,1.7533]
52 [0.9077,2.3211] [0.6574,1.7525]
53 [0.9488,2.3027] [0.6571,1.7516]
54 [0.9259,2.3192] [0.6563,1.7510]
55 [0.9483,2.3498] [0.6560,1.7493]
56 [0.9316,2.3120] [0.6557,1.7498]
57 [0.9100,2.2806] [0.6557,1.7495]
58 [0.9134,2.3556] [0.6551,1.7482]
59 [0.9180,2.3091] [0.6545,1.7483]
60 [0.8956,2.3295] [0.6544,1.7482]
61 [0.8989,2.3100] [0.6539,1.7470]
62 [0.8890,2.3070] [0.6538,1.7445]
63 [0.9006,2.3710] [0.6529,1.7431]
64 [0.9144,2.3012] [0.6524,1.7422]
65 [0.8888,2.2973] [0.6527,1.7424]
66 [0.8822,2.2819] [0.6522,1.7426]
67 [0.9308,2.2464] [0.6517,1.7422]
68 [0.9095,2.3098] [0.6515,1.7421]
69 [0.8619,2.2107] [0.6510,1.7433]
70 [0.9020,2.2537] [0.6506,1.7427]
71 [0.8954,2.2690] [0.6501,1.7415]
72 [0.8903,2.2772] [0.6503,1.7423]
73 [0.8744,2.2207] [0.6506,1.7412]
74 [0.8748,2.2790] [0.6500,1.7395]
75 [0.8980,2.2273] [0.6493,1.7387]
76 [0.9273,2.2297] [0.6493,1.7371]
77 [0.8730,2.2275] [0.6487,1.7360]
78 [0.8653,2.2319] [0.6480,1.7366]
79 [0.8554,2.2682] [0.6474,1.7365]
80 [0.8788,2.2322] [0.6471,1.7371]
81 [0.8624,2.1451] [0.6468,1.7379]
82 [0.8452,2.2357] [0.6461,1.7381]
83 [0.8929,2.2566] [0.6458,1.7371]
84 [0.8363,2.1895] [0.6455,1.7361]
85 [0.8302,2.2126] [0.6453,1.7354]
86 [0.8405,2.1987] [0.6449,1.7341]
87 [0.8492,2.1847] [0.6448,1.7344]
88 [0.8719,2.2200] [0.6448,1.7344]
89 [0.8553,2.2130] [0.6444,1.7335]
90 [0.8715,2.1832] [0.6444,1.7337]
91 [0.8345,2.2128] [0.6438,1.7340]
92 [0.8336,2.1768] [0.6433,1.7333]
93 [0.8384,2.1842] [0.6431,1.7325]
94 [0.8311,2.1872] [0.6428,1.7314]
95 [0.8515,2.1672] [0.6426,1.7299]
96 [0.8357,2.1837] [0.6423,1.7295]
97 [0.8278,2.1649] [0.6418,1.7298]
98 [0.8170,2.1581] [0.6415,1.7299]
99 [0.8254,2.1649] [0.6416,1.7297]
