epoch training validation
0 [8.2278, 21.4077] [2.9443, 9.2899]
1 [7.3884, 21.0787] [3.3144, 9.1754]
2 [7.6555, 21.5007] [2.7879, 9.0513]
3 [6.9301, 21.2121] [2.8135, 8.8992]
4 [6.5659, 20.4166] [2.7012, 8.8664]
5 [6.9012, 20.7449] [2.8403, 8.7116]
6 [6.4344, 19.9347] [2.4934, 8.6054]
7 [6.1797, 20.1329] [2.3276, 8.4696]
8 [6.7884, 19.9671] [2.3295, 8.3756]
9 [6.1478, 20.1024] [2.3795, 8.2769]
10 [5.8868, 19.7842] [2.3316, 8.2400]
11 [6.0561, 19.0698] [2.2556, 8.1048]
12 [6.2080, 19.4509] [2.3234, 7.9503]
13 [5.9349, 19.3034] [2.1312, 7.9181]
14 [5.4908, 19.1869] [2.1529, 7.8863]
15 [5.4905, 18.5916] [2.0545, 7.7113]
16 [5.7997, 18.4558] [2.0803, 7.6043]
17 [5.4481, 18.7792] [2.2567, 7.5680]
18 [5.2143, 18.7602] [1.9388, 7.4779]
19 [5.6234, 18.6401] [1.8994, 7.4807]
20 [5.2807, 17.8550] [1.8268, 7.4163]
21 [4.9405, 18.4160] [1.8988, 7.3458]
22 [5.2971, 18.0111] [2.0231, 7.3163]
23 [5.0431, 18.7211] [1.8598, 7.2609]
24 [5.1895, 17.9907] [1.8515, 7.2291]
25 [5.1217, 17.8261] [2.0450, 7.1995]
26 [4.9723, 17.9072] [1.8744, 7.1635]
27 [4.7031, 17.8051] [1.7555, 7.1334]
28 [4.8858, 17.7762] [1.9255, 7.0365]
29 [4.9050, 17.4336] [1.8018, 6.9160]
30 [4.8602, 17.2616] [1.8116, 6.8187]
31 [4.8257, 17.3314] [1.9257, 6.7657]
32 [4.7486, 16.8271] [1.8427, 6.7220]
33 [4.7274, 17.1945] [1.8474, 6.6183]
34 [4.8632, 16.1225] [1.8632, 6.5538]
35 [4.4024, 16.4490] [1.8228, 6.4900]
36 [4.5284, 17.2573] [1.8299, 6.4112]
37 [4.7943, 16.8045] [1.6930, 6.3643]
38 [4.3664, 16.2876] [1.7536, 6.3365]
39 [4.5531, 16.8326] [1.7802, 6.2861]
